isolate,oil,reps,mean,Std_dev,Median,Min,Max,mode,geo_mean,farm,ST,CC,cODtreated,Biofilmcattreated,Biofilmtreated,cODuntreated,Biofilmcatuntreated,Biofilmuntreated,WGS,biofilmtxstudy,DDzoneDia,PPGMIC,Ddcat,MICcat,logGeoMean
30-01,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,30,352,97,0.0368,1,0,0.0804,1,0,no,no,40,0.125,S,S,-2
46-01,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,46,352,97,0.0386,1,0,0.0493,1,0,no,yes,40,0.125,S,S,-2
01-06,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,1,2187,97,0.0538,1,0,1.8263,4,1,yes,yes,40,0.125,S,S,-2
09-04,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,9,2187,97,0.0156,1,0,0.123,2,1,no,no,40,0.125,S,S,-2
10-02,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,10,2187,97,0.0668,1,0,0.2091,3,1,no,no,40,0.125,S,S,-2
15-05,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,15,2187,97,0.0124,1,0,0.0312,1,0,yes,yes,37,0.125,S,S,-2
18-01,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,18,2187,97,0.1067,2,0,0.146,2,1,no,no,39,0.125,S,S,-2
19-05,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,19,2187,97,0.1149,2,1,0.0673,1,0,no,yes,50,0.125,s,s,-2
41-03,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,41,2187,97,0.0878,1,0,1.5723,4,1,yes,yes,48,0.125,S,S,-2
17-03,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,17,3020,97,0.1101,2,0,0.0656,1,0,no,no,40,0.125,S,S,-2
03-01,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,3,3021,97,0.0347,1,0,0.0539,1,0,no,no,39,0.125,S,S,-2
