id, house,scc_cat,bact_cat,cows,cases2,cases12,cases12avg,cases12_100cy,cases2_100cy,casesavg_100cy
1,Tie-stall,2,1,48,0.5,6,3,12.5,6.25,6.302521008
2,Free-stall,1,2,206,4,6,15,2.912621359,11.65048544,7.292173068
3,Free-stall,2,1,44,2,8,10,18.18181818,27.27272727,22.62443439
4,Free-stall,4,1,82,1,30,18,36.58536585,7.317073171,22.05882353
5,Tie-stall,3,2,52,3,19,18.5,36.53846154,34.61538462,35.67984571
6,Free-stall,2,1,60,6,32,36,40,40,59.65202983
7,Tie-stall,4,1,64,1,6,6,9.375,9.375,9.411764706
8,Bedded-pack,3,2,68,3,14,16,20.58823529,26.47058824,23.52941176
9,Tie-stall,2,1,18,1,3,4.5,16.66666667,33.33333333,25.21008403
10,Free-stall,5,2,43,1,3,5,6.976744186,13.95348837,11.76470588
11,Tie-stall,2,2,19,0.5,4,1.75,21.05263158,15.78947368,9.35828877
13,Bedded-pack,3,1,26,1,2,4,7.692307692,23.07692308,15.68627451
15,Free-stall,1,2,49,3,6,12,12.24489796,36.73469388,24.34077079
17,Bedded-pack,2,1,45,1,3,4.5,6.666666667,13.33333333,9.988901221
18,Tie-stall,3,1,54,2,6,9,11.11111111,22.22222222,16.80672269
19,Tie-stall,5,2,46,2,5,8.5,10.86956522,26.08695652,18.51851852
20,Tie-stall,5,1,46,3,6,12,13.04347826,39.13043478,26.14379085
21,Tie-stall,5,1,72,2,10,11,13.88888889,16.66666667,15.22491349
22,Bedded-pack,3,1,64,0.5,5,2.5,7.8125,4.6875,3.921568627
